@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 80\nSize of the tree: 159\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 79\nSize of the tree: 157\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 77\nSize of the tree: 153\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 75\nSize of the tree: 149\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 84\nSize of the tree: 167\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 110\nSize of the tree: 219\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 76\nSize of the tree: 151\n','Number of leaves: 81\nSize of the tree: 161\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 71\nSize of the tree: 141\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 113\nSize of the tree: 225\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 74\nSize of the tree: 147\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1408,3825,425,400,25,0,94.117647,5.882353,0,0.715871,0.103176,0.224186,42.590752,64.383692,249.607718,4396.464695,-4146.856977,0.587312,10.344623,-9.757311,142.114652,0.334387,56.9352,0.994521,363,0.383333,23,0.616667,37,0.005479,2,0.940415,0.994521,0.966711,0.737175,0.867671,0.954526,0.941176,0.329989,0.670011,0.058824,0.941587,0.941176,0.93576,0.737175,0.867671,0.933765,0.857093,0.941176,2.302,0.019,2.03125,0.015625,2031.25,15.625,2326615,755810,86010,97.647059,66.352941,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1408,3825,425,404,21,0,95.058824,4.941176,0,0.772304,0.107953,0.222318,44.840364,64.296613,247.001707,1193.89978,-946.898072,0.58118,2.809176,-2.227995,131.812588,0.310147,53.365051,0.989071,362,0.288136,17,0.711864,42,0.010929,4,0.955145,0.989071,0.971812,0.780092,0.871816,0.960304,0.950588,0.249653,0.750347,0.049412,0.9493,0.950588,0.947961,0.780092,0.871816,0.939113,0.885906,0.950588,2.4,0.041,2.078125,0.03125,2078.125,31.25,2349520,755810,86010,97.882353,68.705882,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1408,3825,425,407,18,0,95.764706,4.235294,0,0.806349,0.101953,0.20095,42.348147,58.116729,247.001707,2239.923213,-1992.921505,0.58118,5.270408,-4.689227,143.747335,0.338229,58.196899,0.991803,363,0.254237,15,0.745763,44,0.008197,3,0.960317,0.991803,0.975806,0.813154,0.914814,0.970757,0.957647,0.220081,0.779919,0.042353,0.956965,0.957647,0.955591,0.813154,0.914814,0.956146,0.902998,0.957647,2.643,0.053,2.4375,0.046875,2437.5,46.875,2387708,755810,86010,98.588235,69.058824,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1408,3825,425,411,14,0,96.705882,3.294118,0,0.860263,0.0968,0.184582,39.958575,53.009839,249.607718,2229.259839,-1979.65212,0.587312,5.245317,-4.658005,152.448662,0.358703,61.0753,0.986301,360,0.15,9,0.85,51,0.013699,5,0.97561,0.986301,0.980926,0.860949,0.924772,0.973875,0.967059,0.130757,0.869243,0.032941,0.966448,0.967059,0.966581,0.860949,0.924772,0.962531,0.930118,0.967059,2.638,0.028,2.375,0.015625,2375,15.625,2434562,755810,86010,98.588235,70.235294,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1408,3825,425,411,14,0,96.705882,3.294118,0,0.853988,0.097506,0.173687,40.24996,49.880771,249.607718,1150.030933,-900.423215,0.587312,2.705955,-2.118643,157.645802,0.370931,63.157423,0.994521,363,0.2,12,0.8,48,0.005479,2,0.968,0.994521,0.981081,0.858671,0.965525,0.986939,0.967059,0.172538,0.827462,0.032941,0.966871,0.967059,0.965784,0.858671,0.965525,0.980224,0.926904,0.967059,2.256,0.027,1.984375,0.03125,1984.375,31.25,2427933,755810,86010,99.529412,72,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1409,3825,425,401,24,0,94.352941,5.647059,0,0.729443,0.1052,0.207976,43.426055,59.728171,249.607718,1171.526462,-921.918744,0.587312,2.756533,-2.169221,142.366129,0.334979,57.035948,0.994521,363,0.366667,22,0.633333,38,0.005479,2,0.942857,0.994521,0.968,0.748721,0.937831,0.980969,0.943529,0.315676,0.684324,0.056471,0.943866,0.943529,0.938635,0.748721,0.937831,0.965348,0.864,0.943529,3.959,0.037,2.125,0.015625,2125,15.625,2352582,755810,86010,99.294118,70,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1409,3825,425,412,13,0,96.941176,3.058824,0,0.863395,0.095929,0.18166,39.599201,52.170523,249.607718,1158.215625,-908.607907,0.587312,2.725213,-2.137901,154.89475,0.364458,62.055272,0.99726,364,0.2,12,0.8,48,0.00274,1,0.968085,0.99726,0.982456,0.869221,0.938562,0.979493,0.969412,0.172151,0.827849,0.030588,0.96971,0.969412,0.968095,0.869221,0.938562,0.970035,0.931595,0.969412,2.894,0.018,2.25,0.015625,2250,15.625,2451226,755810,86010,98.823529,70.941176,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1409,3825,425,409,16,0,96.235294,3.764706,0,0.833129,0.097882,0.180405,40.405365,51.810132,249.607718,1153.293532,-903.685814,0.587312,2.713632,-2.12632,155.736103,0.366438,62.392343,0.991781,362,0.216667,13,0.783333,47,0.008219,3,0.965333,0.991781,0.978378,0.837697,0.957055,0.985647,0.962353,0.187239,0.812761,0.037647,0.961757,0.962353,0.960896,0.837697,0.957055,0.97648,0.916462,0.962353,2.869,0.022,2.390625,0.015625,2390.625,15.625,2442278,755810,86010,99.294118,71.529412,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1409,3825,425,401,24,0,94.352941,5.647059,0,0.737924,0.108871,0.220722,44.941256,63.388864,249.607718,5464.081441,-5214.473723,0.587312,12.856662,-12.26935,135.466151,0.318744,54.27162,0.989041,361,0.333333,20,0.666667,40,0.010959,4,0.947507,0.989041,0.967828,0.749452,0.86242,0.94917,0.943529,0.287822,0.712178,0.056471,0.942083,0.943529,0.939791,0.749452,0.86242,0.930106,0.86853,0.943529,2.654,0.026,2.34375,0.03125,2343.75,31.25,2323101,755810,86010,97.411765,68.588235,?,-1,?,?,?
Label_Encoded_Train_Data-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20210523.1409,3825,425,405,20,0,95.294118,4.705882,0,0.774536,0.097224,0.201781,40.133406,57.94927,249.607718,1173.343815,-923.736097,0.587312,2.760809,-2.173497,155.486444,0.36585,62.292322,1,365,0.333333,20,0.666667,40,0,0,0.948052,1,0.973333,0.795006,0.909155,0.97112,0.952941,0.286275,0.713725,0.047059,0.955386,0.952941,0.948863,0.795006,0.909155,0.956569,0.886667,0.952941,2.468,0.033,2.0625,0.03125,2062.5,31.25,2395843,755810,86010,97.882353,68.470588,?,-1,?,?,?
